ID,Class,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30
24,1,V2,V5,V2,V1,V4,V4,V3,V2,D,A,C,D,,T,1,1,1,36,,12,1641,152644,1,36,4687,2,2,32,1,1
25,1,V1,V6,V2,V1,V1,V3,V2,V1,D,B,B,C,,T,0,1,1,48,,10,177,130670,1,48,3610,1,1,27,1,1
26,1,V2,V3,V2,V4,V2,V2,V2,V2,C,B,B,C,,T,0,1,1,18,,9,1245,117171,1,18,3050,1,1,45,1,1
27,0,V2,V7,V1,V1,V3,V3,V1,V2,A,B,C,D,Y,T,0,1,1,15,,10,1349,128064,1,15,1276,4,2,24,1,1
28,1,V4,V1,V3,V0,V2,V3,V2,V4,D,A,C,C,,T,1,1,1,12,,10,942,122646,2,12,523,4,4,42,2,1
29,0,V4,V1,V5,V4,V4,V3,V2,V4,B,A,A,A,Y,T,0,1,1,24,,8,827,109997,2,24,1217,4,4,38,2,1
30,1,V4,V1,V2,V0,V1,V3,V2,V4,B,A,C,B,,T,0,1,1,36,,12,1735,128716,1,36,2338,4,4,36,1,1
31,0,V2,V3,V2,V4,V2,V2,V2,V2,D,D,C,B,,T,0,1,1,18,,9,1501,30893,2,18,1534,4,1,43,1,2
32,1,V2,V4,V2,V4,V1,V3,V2,V2,C,A,C,C,,T,0,1,1,12,,14,1095,88262,1,12,1331,4,1,26,1,1
33,0,V1,V6,V2,V1,V2,V3,V1,V1,A,A,C,C,,T,1,1,1,24,,5,1200,111607,1,24,3162,4,2,31,1,1
34,0,V2,V4,V1,V0,V3,V3,V2,V2,A,B,A,C,,T,0,1,1,24,,10,641,187694,1,24,916,4,2,29,1,1
35,0,V4,V5,V2,V2,V3,V3,V2,V4,A,A,C,B,,T,1,1,1,36,,4,1094,121940,1,36,9630,4,4,24,2,1
36,1,V4,V4,V2,V2,V1,V2,V2,V4,D,A,C,C,,T,0,1,1,4,,10,1363,61461,2,4,1456,2,1,42,3,1
37,1,V2,V1,V2,V0,V3,V2,V2,V2,B,A,C,C,,T,0,1,1,9,,12,1536,58166,1,9,1083,4,4,27,2,1
38,1,V2,V1,V1,V4,V1,V3,V1,V2,D,B,C,C,,T,1,1,1,18,,13,1129,28865,1,18,1127,4,2,21,1,1
39,1,V4,V8,V2,V3,V3,V1,V2,V4,A,A,C,D,,T,0,1,1,42,,9,710,54593,1,42,3395,4,4,65,2,2
40,1,V3,V3,V3,V2,V3,V3,V2,V3,D,B,C,C,,T,1,1,1,36,,9,-283,210238,1,36,7679,2,4,40,2,1
41,1,V2,V1,V2,V1,V1,V2,V2,V2,A,D,C,A,,T,0,1,1,12,,14,1486,121136,1,12,702,4,2,40,1,1
42,1,V2,V3,V5,V4,V2,V3,V1,V2,D,B,C,C,,T,0,1,1,9,,5,846,118166,1,9,2302,2,4,22,1,1
43,1,V2,V4,V5,V4,V1,V3,V2,V2,D,D,C,A,,T,1,1,1,24,,11,672,194142,1,24,1475,4,3,33,1,1
44,1,V2,V4,V2,V0,V3,V4,V2,V2,D,A,C,D,,T,1,1,1,12,,7,738,98719,1,12,1885,4,4,39,1,1
45,1,V3,V1,V2,V4,V2,V3,V2,V3,C,B,A,C,,T,0,1,1,6,,5,1234,137682,1,6,684,2,1,29,1,1
46,1,V4,V4,V2,V1,V1,V2,V2,V4,A,A,C,C,,T,0,1,1,11,,8,947,103969,2,11,3940,1,2,40,2,1
47,1,V4,V3,V2,V4,V2,V3,V2,V4,B,B,C,A,,T,0,1,1,18,,6,820,107080,1,18,1296,4,1,27,2,1
48,1,V3,V3,V5,V2,V1,V4,V2,V3,D,A,C,D,,T,0,1,1,21,,12,854,60081,1,21,1592,4,3,34,2,1
49,1,V2,V3,V2,V1,V2,V3,V2,V2,A,B,C,A,,T,0,1,1,12,,16,710,91259,1,12,1621,2,3,30,1,2
50,1,V3,V9,V2,V1,V3,V3,V2,V3,B,A,A,B,,T,1,1,1,20,,11,1585,88725,1,20,2630,2,3,29,2,1
51,0,V0,V3,V2,V4,V2,V3,V1,V0,B,B,C,D,,T,0,1,1,12,,11,508,128278,1,12,2970,4,3,25,2,1
52,0,V2,V1,V3,V1,V1,V2,V2,V2,B,A,C,D,,T,0,1,1,12,,6,932,62721,1,12,767,4,3,66,1,1
53,1,V2,V1,V2,V1,V1,V3,V2,V2,D,A,C,A,,T,0,1,1,9,,7,1199,139268,2,9,2698,1,2,32,1,1
54,1,V2,V1,V5,V0,V4,V3,V3,V2,D,A,A,C,,T,1,1,1,6,,10,1379,121283,2,6,1347,2,4,42,1,1
55,1,V4,V6,V4,V1,V1,V3,V2,V4,C,C,C,C,,T,1,1,1,24,,15,789,98862,1,24,1276,2,4,,2,1
56,1,V1,V6,V2,V2,V3,V3,V2,V1,D,A,A,B,,T,1,1,1,24,,13,501,97158,1,24,1560,4,4,50,1,1
57,1,V4,V4,V3,V1,V3,V3,V2,V4,D,D,C,D,,T,0,1,1,6,,10,1307,119483,1,6,2081,1,2,24,1,1
58,0,V2,V1,V1,V1,V1,V3,V2,V2,B,D,C,B,,T,1,1,1,12,10,3,494,55280,1,12,1485,2,1,25,1,1
59,1,V4,V1,V1,V0,V1,V3,V2,V4,D,A,C,D,,T,1,1,1,48,,13,1126,55771,1,48,3579,4,1,47,1,1
60,1,V2,V4,V2,V1,V1,V2,V2,V2,D,C,C,B,,T,0,1,1,12,,16,945,21725,1,12,641,4,2,49,1,1
61,1,V2,V3,V2,V4,V1,V4,V1,V2,B,B,C,A,,T,0,1,1,12,,12,1138,49721,1,12,3018,3,1,34,1,1
62,1,V3,V3,V1,V4,V2,V2,V2,V3,B,A,A,C,,T,0,1,1,24,,15,364,82648,1,24,2334,4,2,29,1,1
63,1,V2,V8,V5,V1,V1,V3,V2,V2,B,A,C,C,,T,0,1,1,15,,13,1048,146243,1,15,1515,4,2,22,1,3
64,1,V3,V4,V1,V0,V3,V3,V2,V3,D,D,C,B,,T,1,1,1,24,,15,1375,135067,1,24,718,4,4,54,2,1
65,0,V2,V1,V4,V2,V4,V3,V2,V2,B,A,A,C,X,T,1,1,1,48,,8,1414,95331,1,48,10962,1,2,27,2,2
66,1,V4,V6,V3,V1,V3,V3,V2,V4,B,A,A,C,X,T,0,1,1,15,68,11,1133,37842,1,15,2327,2,4,27,1,1
67,1,V4,V1,V1,V0,V3,V3,V2,V4,D,A,C,B,,T,1,1,1,30,,9,1701,23770,2,30,3078,3,2,40,2,1
68,1,V4,V1,V2,V0,V1,V3,V2,V4,D,A,C,B,,T,0,1,1,12,37,4,875,85537,1,12,619,4,4,56,1,1
69,0,V2,V3,V2,V0,V3,V3,V2,V2,A,A,C,C,,T,0,1,1,36,,12,621,120183,2,36,3447,4,2,42,1,1
70,1,V4,V6,V2,V2,V1,V2,V2,V4,B,B,A,B,,T,0,1,1,42,,8,1040,81270,1,42,5955,2,1,41,2,1
71,1,V4,V3,V2,V0,V2,V3,V2,V4,D,A,B,C,,T,0,1,1,12,,1,1426,52786,1,12,3332,2,4,42,1,1
72,0,V2,V2,V2,V4,V2,V3,V2,V2,A,B,C,D,,T,0,1,1,12,,8,1170,72939,1,12,796,4,4,53,1,1
73,1,V4,V1,V2,V2,V3,V3,V2,V4,D,A,C,B,,T,0,1,1,30,,10,1015,33333,1,30,5955,3,2,38,1,2
74,0,V2,V4,V1,V3,V2,V1,V2,V2,B,A,C,C,,T,1,1,1,6,,8,815,116125,1,6,14556,1,2,23,1,1
75,1,V2,V1,V3,V1,V1,V2,V2,V2,B,B,C,C,,T,0,1,1,9,,15,913,89196,1,9,791,4,3,66,1,1
76,1,V3,V5,V1,V2,V2,V4,V1,V3,B,A,A,A,,T,1,1,1,20,,8,1255,84762,2,20,7058,3,4,36,2,1
77,1,V2,V1,V5,V0,V3,V3,V2,V2,D,A,C,D,,T,1,1,1,9,,7,1312,43228,1,9,2754,3,4,35,1,2
78,0,V2,V3,V3,V1,V3,V2,V1,V2,D,B,C,D,,T,0,1,1,12,,14,974,149281,1,12,1124,4,4,29,1,1
79,0,V4,V2,V2,V1,V4,V4,V2,V4,A,B,C,D,,T,1,1,1,36,,11,642,100750,1,36,8066,3,2,25,2,1
80,0,V2,V3,V2,V3,V3,V3,V2,V2,A,B,C,A,,T,0,1,1,18,,12,1005,141296,1,18,1132,4,2,33,1,1
81,1,V2,V4,V2,V2,V1,V2,V1,V2,B,A,C,C,,T,0,1,1,18,,8,1275,88964,1,18,6261,3,3,28,1,1
82,1,V4,V3,V2,V3,V3,V4,V2,V4,D,A,C,D,,T,0,1,1,9,76,9,879,96685,1,9,2407,2,3,31,1,1
83,1,V4,V4,V2,V4,V1,V2,V1,V4,A,A,C,C,,T,0,2,1,10,,17,673,176400,2,10,2242,1,3,48,2,1
84,0,V2,V4,V2,V0,V4,V4,V3,V2,A,A,A,B,,T,0,1,1,48,,7,882,105397,1,48,7764,4,4,42,1,1
85,1,V4,V5,V4,V1,V1,V3,V2,V4,D,A,C,B,,T,0,1,1,24,,15,749,141955,1,24,5805,4,2,27,2,1
86,1,V2,V1,V2,V1,V1,V2,V2,V2,B,D,C,C,X,T,0,1,1,18,,9,297,39335,1,18,867,4,2,25,1,3
87,1,V2,V5,V2,V0,V4,V3,V3,V2,A,A,C,A,,T,0,1,1,36,,9,1641,104742,2,36,5494,2,4,42,1,1
88,1,V2,V4,V5,V0,V2,V3,V2,V2,A,A,C,A,,T,1,1,1,6,,13,1452,182959,1,6,1204,3,2,43,1,1
89,0,V2,V6,V2,V3,V3,V4,V1,V2,D,A,A,A,,T,1,1,1,48,,9,947,55232,1,48,4845,3,2,33,1,1
90,1,V4,V2,V2,V1,V2,V2,V2,V4,C,B,C,C,,T,0,1,1,6,,7,1295,94832,1,6,1048,2,4,50,1,1
91,1,V4,V4,V2,V1,V2,V2,V2,V4,D,A,C,B,,T,0,1,1,11,,14,1340,107478,1,11,7229,1,4,39,2,1
92,1,V4,V5,V3,V1,V3,V3,V2,V4,C,A,C,A,,T,1,1,1,15,,15,345,103439,1,15,2361,2,2,36,1,1
93,0,V2,V4,V2,V2,V3,V3,V2,V2,A,A,C,B,,T,1,1,1,36,,2,1162,143645,1,36,9272,2,1,24,1,1
94,0,V2,V3,V5,V4,V3,V3,V1,V2,B,B,A,B,,T,0,1,1,12,,9,1257,143781,1,12,952,4,4,27,4,1
95,0,V2,V4,V2,V4,V1,V2,V2,V2,A,B,C,B,,T,0,1,1,12,,3,433,107227,1,12,1275,3,1,37,1,1
96,1,V4,V4,V2,V0,V1,V2,V2,V4,D,A,C,B,,T,0,1,1,12,,10,617,139216,1,12,1256,4,4,61,2,1
97,1,V2,V1,V2,V4,V1,V3,V2,V2,D,B,C,D,,T,0,1,1,18,,16,1585,134945,1,18,1454,3,1,26,1,1
98,1,V4,V6,V5,V1,V2,V2,V2,V4,D,A,C,B,,T,1,1,1,24,,-1,703,107647,1,24,4140,3,3,27,2,1
99,1,V2,V4,V2,V1,V2,V4,V2,V2,D,D,C,B,,T,1,1,1,18,,6,1323,127865,1,18,1821,2,2,30,1,1
100,1,V4,V2,V2,V0,V4,V3,V3,V4,D,A,C,A,,T,0,1,1,24,,10,1329,126472,2,24,1598,4,4,54,2,1
101,0,V3,V1,V5,V4,V4,V4,V2,V3,B,A,B,A,,T,0,1,1,30,,8,157,52256,1,30,1920,4,3,30,2,1
102,0,V0,V6,V2,V1,V1,V2,V2,V0,B,A,C,C,,T,1,1,1,24,,9,565,112001,1,24,4242,1,4,36,3,1
103,0,V2,V3,V2,V3,V3,V1,V2,V2,A,A,C,C,,T,0,1,1,18,,5,875,112898,1,18,2474,4,1,25,1,1
104,0,V2,V3,V2,V0,V2,V4,V1,V2,A,A,C,B,,T,1,1,1,24,,10,846,64987,1,24,3346,4,2,39,1,1
105,0,V2,V4,V2,V1,V1,V2,V2,V2,A,B,C,A,,T,0,1,1,12,,13,1096,98997,1,12,1229,4,2,24,1,1
106,0,V2,V4,V2,V0,V4,V4,V2,V2,A,A,A,B,,T,1,1,1,6,,16,814,41518,1,6,14897,1,4,68,1,1
107,1,V4,V10,V1,V2,V2,V2,V2,V4,B,B,C,C,,T,0,1,1,6,,-2,1291,34355,1,6,933,1,3,39,2,1
108,1,V3,V4,V2,V0,V3,V3,V2,V3,,A,C,B,,T,1,1,1,36,,8,1126,148397,2,36,10876,2,2,45,2,1
109,1,V2,V2,V1,V1,V4,V3,V3,V2,B,A,C,D,,T,0,1,1,18,,1,1181,144375,1,18,1240,4,4,61,1,1
110,1,V4,V9,V2,V0,V4,V4,V3,V4,A,A,A,C,,T,1,1,1,8,,7,424,80715,2,8,1165,3,4,51,2,1
111,1,V2,V4,V2,V1,V1,V2,V2,V2,A,D,C,C,,T,0,1,1,12,,15,807,18701,1,12,1169,4,3,27,1,1
112,0,V2,V1,V5,V2,V2,V3,V2,V2,A,D,C,B,,T,0,1,1,12,,6,1212,75432,1,12,675,4,1,20,1,1
113,1,V3,V6,V5,V1,V2,V2,V2,V3,D,A,C,B,,T,0,1,1,30,,11,899,93941,1,30,4273,2,2,26,2,1
114,1,V4,V4,V5,V1,V3,V2,V2,V4,D,B,C,D,,T,0,1,1,6,,16,1857,152135,1,6,363,4,4,52,2,1
115,1,V3,V1,V2,V3,V1,V3,V2,V3,D,D,C,D,,T,0,1,1,18,,4,704,157934,1,18,2321,2,3,34,2,1
116,0,V0,V3,V2,V1,V4,V3,V3,V0,A,A,C,D,,T,0,1,1,48,,7,473,108994,2,48,7120,3,4,53,2,1
117,1,V4,V4,V2,V0,V1,V2,V2,V4,D,A,C,C,,T,0,1,1,12,,15,1290,38723,2,12,1496,4,1,38,2,1
118,1,V2,V4,V5,V0,V1,V2,V1,V2,D,D,C,A,,T,0,1,1,24,,7,653,155887,1,24,1470,4,4,41,1,1
119,1,V4,V5,V1,V0,V3,V3,V2,V4,D,A,C,C,,T,1,1,1,48,,9,937,169427,2,48,2752,4,3,38,2,1
120,1,V1,V4,V5,V2,V3,V3,V2,V1,A,A,A,B,,T,0,1,1,24,,17,708,141730,1,24,2326,2,3,32,1,1
121,1,V4,V1,V2,V1,V3,V3,V2,V4,D,B,C,D,,T,0,1,1,18,,9,824,106154,1,18,2239,2,1,25,2,1
122,0,V0,V4,V2,V1,V3,V3,V2,V0,A,A,A,C,,T,0,1,1,12,,11,843,65579,1,12,1083,4,4,48,2,1
123,0,V2,V1,V2,V4,V1,V3,V2,V2,A,B,C,B,,T,1,1,1,24,,10,660,103174,1,24,2440,4,4,,1,1
124,1,V2,V5,V5,V0,V3,V4,V2,V2,D,A,C,D,,T,1,1,1,39,,9,1081,122201,1,39,8589,4,2,45,1,1
125,1,V2,V3,V1,V2,V3,V3,V2,V2,D,A,B,D,,T,1,1,1,24,,7,1475,22510,1,24,930,4,2,31,1,1
126,1,V2,V1,V1,V0,V2,V3,V2,V2,B,A,C,C,,T,0,1,1,6,87,12,818,85937,1,6,369,4,4,38,1,1
127,0,V1,V2,V2,V2,V4,V2,V3,V1,B,B,A,C,,T,0,1,1,24,,7,1124,178868,1,24,1838,4,4,34,1,1
128,1,V2,V3,V2,V0,V2,V3,V2,V2,D,A,A,D,,T,1,1,1,18,,13,1085,162764,2,18,3423,4,4,47,3,1
129,1,V4,V2,V1,V2,V3,V3,V2,V4,D,B,C,B,,T,0,1,1,12,,8,1801,122650,1,12,2013,4,2,61,1,1
130,0,V3,V4,V5,V0,V3,V4,V2,V3,B,A,C,A,,T,1,1,1,36,,8,609,76106,1,36,8087,2,4,42,4,1
131,1,V3,V6,V5,V0,V2,V3,V2,V3,B,A,B,D,,T,0,1,1,30,,9,696,159730,1,30,2504,4,2,41,2,1
132,1,V4,V1,V2,V2,V3,V3,V2,V4,A,B,C,A,,T,0,1,1,6,,7,508,83553,1,6,1958,1,4,31,1,1
133,0,V0,V4,V2,V0,V3,V3,V1,V0,A,A,C,B,,T,0,1,1,15,,9,1285,92335,2,15,951,4,3,33,2,1
134,0,V2,V1,V2,V1,V1,V2,V1,V2,A,A,C,D,,T,0,1,1,24,,9,1693,87888,2,24,1988,2,4,21,1,1
135,1,V3,V3,V5,V1,V2,V3,V2,V3,D,A,C,C,,T,0,1,1,24,13,8,616,116677,1,24,4152,2,3,35,2,1
136,1,V2,V1,V2,V0,V1,V2,V2,V2,A,A,C,A,,T,0,1,1,10,,14,709,104445,1,10,2316,3,4,52,1,1
137,1,V2,V4,V1,V2,V2,V3,V1,V2,D,B,C,C,,T,0,1,1,22,,16,1013,85321,1,22,1284,4,4,25,1,1
138,0,V2,V2,V1,V0,V4,V4,V2,V2,A,A,C,D,,T,1,1,1,36,,12,799,88338,1,36,1978,4,4,40,1,1
139,1,V4,V4,V2,V1,V1,V3,V1,V4,A,A,C,B,,T,0,1,1,11,,7,1221,128488,2,11,3906,2,2,36,2,1
140,1,V1,V4,V1,V1,V1,V2,V2,V1,D,A,B,A,,T,0,1,1,6,,6,1166,56978,2,6,784,1,2,26,1,3
141,1,V4,V1,V1,V0,V3,V3,V2,V4,D,A,C,C,,T,0,1,1,12,92,6,680,117311,1,12,977,4,4,35,2,1
142,1,V4,V3,V2,V1,V4,V3,V2,V4,D,B,C,C,,T,0,1,1,18,,17,1468,99069,1,18,1818,4,2,28,2,1
143,1,V2,V1,V2,V4,V3,V3,V2,V2,A,B,B,D,,T,0,1,1,18,,12,1533,218438,1,18,2390,4,1,27,1,1
144,1,V2,V3,V2,V1,V2,V2,V2,V2,A,A,C,A,,T,0,1,1,12,,12,1001,44330,1,12,1290,4,1,21,1,3
145,1,V4,V4,V2,V3,V2,V1,V2,V4,D,B,C,C,,T,0,1,1,12,,8,1036,159745,1,12,927,1,2,38,1,1
146,1,V2,V8,V3,V2,V1,V2,V1,V2,D,D,C,A,,T,0,1,1,6,,7,1223,64258,1,6,661,2,4,23,1,1
147,1,V2,V5,V1,V0,V1,V3,V1,V2,A,B,C,A,,T,0,1,1,24,,3,1078,118535,1,24,2813,2,4,26,1,1
148,1,V2,V5,V1,V3,V2,V4,V1,V2,D,B,C,B,,T,1,1,1,24,,4,1441,140223,1,24,5434,2,4,26,1,1
149,1,V2,V2,V2,V4,V4,V3,V2,V2,D,B,C,A,,T,0,1,1,6,43,6,184,75317,1,6,1539,1,2,56,1,1
150,1,V4,V6,V1,V0,V4,V2,V1,V4,D,A,C,A,,T,0,1,1,12,,8,1145,141341,1,12,1265,4,4,57,1,1
151,1,V2,V10,V2,V4,V3,V2,V2,V2,D,D,C,A,,T,0,1,1,24,,13,1439,79744,1,24,938,4,3,27,2,1
152,1,V4,V4,V4,V1,V1,V2,V2,V4,D,B,A,A,,T,0,1,1,6,,8,1270,142647,1,6,251,2,2,41,2,1
153,1,V4,V1,V3,V0,V2,V4,V2,V4,D,A,A,A,,T,1,1,1,18,,0,-168,31186,1,18,630,4,3,32,2,1
154,0,V4,V4,V2,V3,V3,V4,V2,V4,B,D,C,B,,T,0,1,1,30,,18,743,114304,1,30,5235,4,2,28,2,1
155,1,V2,V1,V3,V0,V1,V3,V2,V2,A,D,C,B,,T,0,1,1,12,,3,647,178984,1,12,1681,3,1,35,1,1
156,0,V3,V6,V2,V1,V1,V4,V2,V3,B,C,B,C,,T,1,1,1,36,,11,742,114660,1,36,4456,2,2,30,2,1
157,1,V2,V10,V1,V0,V2,V3,V2,V2,B,A,C,A,,T,0,1,1,12,,14,559,96298,1,12,755,4,4,38,2,1
158,1,V0,V10,V2,V1,V1,V2,V2,V0,B,A,C,B,,T,1,1,1,12,,9,1339,115571,1,12,1411,2,2,31,1,1
159,1,V4,V1,V1,V0,V2,V3,V2,V4,D,A,C,D,,T,0,1,1,24,,18,977,121858,1,24,2425,4,4,53,2,1
160,0,V1,V4,V2,V2,V4,V2,V3,V1,A,A,C,C,,T,0,1,1,18,,5,366,77436,2,18,1443,4,4,32,2,1
161,1,V4,V6,V1,V0,V3,V4,V2,V4,D,C,A,B,,T,0,1,1,48,,14,1111,46726,2,48,7630,4,2,46,2,1
162,1,V2,V1,V1,V1,V3,V3,V2,V2,D,B,C,C,,T,0,1,1,12,,6,661,120199,1,12,887,4,2,21,1,1
163,1,V4,V1,V2,V2,V3,V3,V2,V4,D,D,C,D,,T,1,1,1,24,,12,349,141518,1,24,1852,4,2,33,2,3
164,1,V2,V4,V2,V2,V3,V3,V2,V2,B,A,C,D,,T,0,1,1,12,,15,398,94949,1,12,6079,2,2,32,1,1
165,1,V4,V3,V2,V0,V4,V3,V2,V4,B,A,C,C,,T,1,1,1,18,,4,2210,57392,1,18,6362,2,1,41,1,1
166,1,V4,V4,V2,V1,V1,V3,V2,V4,D,A,C,B,,T,0,1,1,9,,8,1746,148747,1,9,1225,3,1,30,2,1
167,1,V2,V1,V2,V4,V1,V3,V2,V2,A,D,C,B,,T,0,2,1,15,,8,1006,50126,1,15,1054,4,2,27,1,1
168,1,V2,V3,V2,V4,V3,V3,V1,V2,A,B,C,B,,T,0,1,1,12,,11,937,50961,1,12,1859,4,1,22,1,1
169,1,V2,V5,V2,V2,V3,V3,V2,V2,D,A,C,C,,T,0,1,1,15,,12,1201,101438,1,15,3030,2,2,33,1,1
170,1,V2,V7,V2,V4,V1,V3,V1,V2,D,B,C,A,,T,1,1,1,9,,8,1908,84865,1,9,1237,1,4,23,1,1
171,1,V4,V4,V3,V2,V3,V4,V2,V4,B,C,C,D,Y,T,1,1,1,12,23,9,727,51801,1,12,2367,3,3,36,1,1
172,1,V4,V4,V2,V3,V3,V1,V3,V4,B,A,C,D,X,T,1,1,1,16,,8,-380,91343,1,16,1176,2,3,68,3,1
173,1,V3,V4,V2,V1,V1,V2,V2,V3,A,A,C,A,,T,0,1,1,12,,0,1086,104931,2,12,1345,4,2,43,2,1
174,1,V2,V1,V4,V4,V3,V3,V2,V2,A,B,A,C,,T,0,1,1,21,,14,1298,72012,1,21,3358,4,2,29,1,1
175,1,V2,V4,V2,V1,V2,V3,V1,V2,D,A,C,B,,T,0,1,1,6,,7,1503,134322,1,6,3519,2,3,26,1,3
176,1,V4,V1,V1,V0,V2,V2,V2,V4,C,A,B,B,,T,0,1,1,30,,10,1264,81234,1,30,3657,4,4,49,2,1
177,0,V2,V1,V2,V1,V1,V3,V2,V2,A,B,C,D,X,T,1,1,1,21,,14,463,17744,1,21,1836,3,2,25,2,1
178,1,V2,V3,V3,V0,V2,V3,V2,V2,D,A,C,D,,T,0,1,1,24,,4,933,109992,1,24,2836,3,4,53,1,1
179,1,V2,V1,V2,V0,V1,V4,V2,V2,D,A,C,A,,T,1,1,1,24,,15,855,50243,1,24,1279,4,1,36,1,1
180,1,V2,V1,V1,V4,V2,V3,V2,V2,B,A,C,C,,T,0,1,1,15,,15,1284,131673,1,15,1445,4,1,23,1,1
181,1,V2,V5,V1,V1,V2,V3,V2,V2,D,A,C,A,X,T,1,1,1,18,,15,1347,104271,1,18,3379,2,1,31,1,1
182,1,V2,V3,V4,V1,V1,V3,V2,V2,D,C,C,A,,T,0,1,1,6,49,12,1109,161446,1,6,1544,4,2,33,1,1
183,1,V2,V4,V2,V0,V3,V4,V2,V2,C,B,C,C,,T,0,1,1,18,,9,755,124490,1,18,1962,3,2,23,1,1
184,1,V2,V1,V2,V1,V3,V3,V2,V2,A,B,A,C,,T,0,1,1,12,,8,1460,108308,1,12,1499,4,1,23,1,1
185,1,V4,V1,V1,V0,V1,V3,V2,V4,D,A,C,A,,T,0,1,1,12,,5,699,32651,1,12,931,4,4,65,4,1
186,0,V1,V3,V3,V4,V4,V3,V3,V1,A,A,C,A,,T,1,1,1,24,,12,1165,114732,2,24,3350,4,4,30,1,1
187,1,V2,V5,V1,V4,V3,V3,V1,V2,D,D,C,D,X,T,1,1,1,12,,11,1306,140677,1,12,2446,2,4,26,1,1
188,1,V1,V5,V1,V4,V1,V3,V1,V1,D,A,A,B,,T,1,1,1,28,,13,381,66177,2,28,7825,3,4,40,2,3
189,1,V4,V1,V5,V3,V1,V2,V2,V4,D,B,C,B,,T,0,1,1,11,3,8,843,36857,1,11,1155,4,4,57,3,1
190,0,V4,V1,V2,V1,V3,V3,V2,V4,B,D,C,D,,T,0,1,1,18,,13,361,53061,1,18,1246,4,2,33,1,1
